name,place_id,address,city,state,zip_code,latitude,longitude,google_rating,google_review_count
"Underground Septic Services, LLC",ChIJ7fpLN1n_84gR4lNzt60jhlI,"2014 Riverside Dr Ste 2G, Macon, GA 31204, USA",Macon,GA,31204,32.856371,-83.64603559999999,5,29
A-1 Sanitation- Septic Tank and Plumbing Services,ChIJvdDXYzRV8YgR1kZLezIhJ4E,"600 Luke Smith Rd, Macon, GA 31211, USA",Macon,GA,31211,32.9243283,-83.56981420000001,5,7
Fast Flow Septic and Drains,ChIJoQ8PGmU6NoIRYtEHs1C--pk,"3730 Upper River Rd, Macon, GA 31211, USA",Macon,GA,31211,32.9380621,-83.64546229999999,5,21
Stewart Septic Service,ChIJe6prstT384gRIKQtv_IGplo,"9026 Estes Rd, Macon, GA 31220, USA",Macon,GA,31220,32.9078323,-83.822711,4.8,34
Septic Tank Pros Macon GA,ChIJuQU_2iL884gRymgSXAVRVNk,"2332 Ballard Pl, Macon, GA 31206, USA",Macon,GA,31206,32.8177719,-83.65387989999999,3.5,4
Big Daddy's Septic Service,ChIJ9TigFbZ2CwgRJJGvkf6P6D4,"338 Buster Brown Rd, Jackson, GA 30233, USA",Macon,GA,30233,33.349087,-83.97717019999999,5,228
ASAP Septic & Portables,ChIJ2bP-5ucttkIRZsp6itqd6Xw,"1029 N Houston Rd Ste 110, Warner Robins, GA 31093, USA",Macon,GA,31093,32.6410656,-83.64217149999999,5,77
Kitchens & Young Well & Septic Service,ChIJDXnpd_ZT8YgRZ3Ny71i5LSQ,"5555 Donnan Rd, Macon, GA 31217, USA",Macon,GA,31217,32.8377414,-83.4971724,4.9,39
Bowen's Septic Tank,ChIJmw7D3rO09YgRiDQy0Wsg2lI,"3935 GA-20, Conyers, GA 30012, USA",Macon,GA,30012,33.7482219,-83.985771,4.9,2778
ASAP Septic & Portables,ChIJD-wFofP_84gR75MJlFYNY2s,"500 Hillcrest Industrial Blvd #1, Macon, GA 31204, USA",Macon,GA,31204,32.8452017,-83.6725099,5,2
A1 Pumping and Repair,ChIJx5MdkVpa9IgRrpHQcKojYUc,"271 Douglas Creek Rd, Flovilla, GA 30216, USA",Macon,GA,30216,33.2549859,-83.86466159999999,4.6,282
ASAP Septic & Portables,ChIJEWQtuEfb84gRH1VC9tRimGA,"518 General Courtney Hodges Blvd Unit 501, Perry, GA 31069, USA",Macon,GA,31069,32.4512646,-83.7435491,5,68
"Ricky Heath Plumbing, Heating, & Cooling",ChIJa5ATwrP-84gRUmaPgL-nzmU,"505 Hillcrest Industrial Blvd, Macon, GA 31204, USA",Macon,GA,31204,32.844638,-83.673526,4.9,2446
"Environmental Remedies, LLC - Macon",ChIJ_T92hk_984gRIlx1EtiCkjQ,"100 Waste Research Drive, Macon, GA 31206, USA",Macon,GA,31206,32.8073151,-83.6352315,5,2
Safety-Kleen Systems,ChIJs_jvnDfj84gRVYx9pr1-j_w,"6580 Hawkinsville Rd, Macon, GA 31216, USA",Macon,GA,31216,32.7282923,-83.65444839999999,5,1
AmeriPro Environmental Services,ChIJ8ekbzMMh8YgRJiZg3NQt1Fc,"401 E Jackson St, Dublin, GA 31021, USA",Macon,GA,31021,32.5418708,-82.9001864,4.3,6
Mr. Rooter Plumbing of Middle Georgia,ChIJ6YU1I3sH9IgRzvPGpi48wGk,"1077 Parkway Dr Ste A, Macon, GA 31220, USA",Macon,GA,31220,32.829849,-83.737101,4.8,512
SERVPRO of Macon,ChIJmWW82xRW8YgRiK8rZ8ql7hg,"1965 Adkins Pl, Macon, GA 31217, USA",Macon,GA,31217,32.8045436,-83.5712611,4.8,156
Extreme Clean,ChIJq6qqqurk84gRROmr5LAKTOo,"5900 Hawkinsville Rd, Macon, GA 31216, USA",Macon,GA,31216,32.7424621,-83.65472380000001,5,271
"JTL Sitework & Septic Services, LLC",ChIJJREwnh2uJGwRaNRQKaOOla4,"1301 Juliette Rd, Forsyth, GA 31029, USA",Macon,GA,31029,33.045039,-83.9035182,5,5
